code,lago,boa,prof,data,Cyanobacteria,Bacillariophyceae ,Cryptophyceae,Crysophyceae,Chlorophyta ,Dinophyceae,biov_tot 
20200109_Sup,m,plz,s,01/09/2020,,,,,,,
20200116_Sup,m,plz,s,01/16/2020,,,,,,,
20200130_Sup,m,plz,s,01/30/2020,0,1072.11,123.14,159.74,0,0,1355.00
20200206_Sup,m,plz,s,02/06/2020,,,,,,,
20200218_Sup,m,plz,s,02/18/2020,,,,,,,
20200221_Sup,m,plz,s,02/21/2020,53.23,1494.29,102.28,61.43,87.72,0.00,1798.95
20200304_Sup,m,plz,s,03/04/2020,35.71,1404.90,407.64,40.30,2.87,0.00,1891.41
20200310_Sup,m,plz,s,03/10/2020,2.42,2092.79,395.58,59.53,285.96,0.00,2836.27
20200407_Sup,m,plz,s,04/07/2020,2.02,226.16,67.82,12.51,8.84,0.00,317.35
20200423_Sup,m,plz,s,04/23/2020,19.96,1798.16,92.77,252.95,7.39,0.00,2171.23
20200429_Sup,m,plz,s,04/29/2020,,,,,,,
20200506_Sup,m,plz,s,05/06/2020,31.98,1416.69,172.27,289.93,29.19,19.50,1959.55
20200514_Sup,m,plz,s,05/14/2020,5.64,174.29,196.40,37.84,5.64,0.00,419.82
20200520_Sup,m,plz,s,05/20/2020,,,,,,,
20200527_Sup,m,plz,s,05/27/2020,5.65,483.36,120.56,36.15,53.31,0,699.03
20200603_Sup,m,plz,s,06/03/2020,0.23,117.64,169.46,37.46,4.10,0.00,328.89
20200610_Sup,m,plz,s,06/10/2020,52.55,732.31,188.15,88.43,240.70,15.60,1317.75
20200616_Sup,m,plz,s,06/16/2020,1.91,2926.82,278.50,31.46,316.47,0.00,3555.16
20200623_Sup,m,plz,s,06/23/2020,,,,,,,
20200630_Sup,m,plz,s,06/30/2020,117.41,1583.39,184.52,472.10,244.57,227.76,2829.74
20200721_Sup,m,plz,s,07/21/2020,30.94,568.59,129.43,11.40,16.42,7.80,764.59
20200805_Sup,m,plz,s,08/05/2020,289.74,707.50,198.34,4.72,97.11,0.00,1297.41
20200824_Sup,m,plz,s,08/24/2020,41.05,326.51,48.86,15.60,60.86,0.00,492.87
20200831_Sup,m,plz,s,08/31/2020,143.94,145.49,52.94,39.49,236.01,0.00,617.87
BoaPlz_20200914_Sup,m,plz,s,09/14/2020,,,,,,,
20210310_Sup,m,plz,s,03/10/2021,42.40,205.40,252.93,27.53,41.79,0.00,570.04
20210324_Sup,m,plz,s,03/24/2021,8.80,139.24,511.60,40.27,149.00,0.00,848.90
20210414_Sup,m,plz,s,04/14/2021,,,,,,,
20210427_Sup,m,plz,s,04/27/2021,,,,,,,
20210513_Sup,m,plz,s,05/13/2021,,,,,,,
20210521_Sup,m,plz,s,05/21/2021,213.01,2863.19,741.11,356.39,65.63,0.00,4239.33
20210623_Sup,m,plz,s,06/23/2021,,,,,,,
20210811_Sup,m,plz,s,08/11/2021,,,,,,,
20210826_Sup,m,plz,s,08/26/2021,132.54,553.83,216.23,24.99,0.00,0.00,927.59
20210914_Sup,m,plz,s,09/14/2021,41.91,409.36,235.54,74.86,0,0,761.68
20211013_Sup,m,plz,s,10/13/2021,202.94,753.36,523.67,240.92,7.11,0.00,1728.00
20211112_Sup,m,plz,s,11/12/2021,,,,,,,
20211215_Sup,m,plz,s,12/15/2021,,,,,,,
20200721_Deep,m,plz,d,07/21/2020,,,,,,,
20200805_Deep,m,plz,d,08/05/2020,,,,,,,
20200824_Deep,m,plz,d,08/24/2020,,,,,,,
20200831_Deep,m,plz,d,08/31/2020,,,,,,,
BoaPlz_20200914_Deep,m,plz,d,09/14/2020,,,,,,,
20210310_Deep,m,plz,d,03/10/2021,,,,,,,
20210324_Deep,m,plz,d,03/24/2021,,,,,,,
20210414_Deep,m,plz,d,04/14/2021,,,,,,,
20210427_Deep,m,plz,d,04/27/2021,,,,,,,
20210513_Deep,m,plz,d,05/13/2021,,,,,,,
20210521_Deep,m,plz,d,05/21/2021,,,,,,,
20210623_Deep,m,plz,d,06/23/2021,,,,,,,
20210811_Deep,m,plz,d,08/11/2021,,,,,,,
20210826_Deep,m,plz,d,08/26/2021,,,,,,,
20210914_Deep,m,plz,d,09/14/2021,,,,,,,
20211013_Deep,m,plz,d,10/13/2021,,,,,,,
20211112_Deep,m,plz,d,11/12/2021,,,,,,,
20211215_Deep,m,plz,d,12/15/2021,,,,,,,
