code,lago,boa,prof,data,LM1buoy
20200109_Sup,m,plz,s,01/09/2020,
20200116_Sup,m,plz,s,01/16/2020,0.24
20200130_Sup,m,plz,s,01/30/2020,0.31
20200206_Sup,m,plz,s,02/06/2020,0.26
20200218_Sup,m,plz,s,02/18/2020,0.58
20200221_Sup,m,plz,s,02/21/2020,0.8
20200304_Sup,m,plz,s,03/04/2020,0.95
20200310_Sup,m,plz,s,03/10/2020,0.56
20200407_Sup,m,plz,s,04/07/2020,0.26
20200423_Sup,m,plz,s,04/23/2020,1.02
20200429_Sup,m,plz,s,04/29/2020,1.13
20200506_Sup,m,plz,s,05/06/2020,0.49
20200514_Sup,m,plz,s,05/14/2020,0.23
20200520_Sup,m,plz,s,05/20/2020,0.36
20200527_Sup,m,plz,s,05/27/2020,0.27
20200603_Sup,m,plz,s,06/03/2020,0.33
20200610_Sup,m,plz,s,06/10/2020,0.39
20200616_Sup,m,plz,s,06/16/2020,0.91
20200623_Sup,m,plz,s,06/23/2020,0.87
20200630_Sup,m,plz,s,06/30/2020,0.77
20200721_Sup,m,plz,s,07/21/2020,0.37
20200805_Sup,m,plz,s,08/05/2020,0.39
20200824_Sup,m,plz,s,08/24/2020,0.27
20200831_Sup,m,plz,s,08/31/2020,0.25
BoaPlz_20200914_Sup,m,plz,s,09/14/2020,0.19
20210310_Sup,m,plz,s,03/10/2021,0.37
20210324_Sup,m,plz,s,03/24/2021,0.35
20210414_Sup,m,plz,s,04/14/2021,0.17
20210427_Sup,m,plz,s,04/27/2021,0.26
20210513_Sup,m,plz,s,05/13/2021,0.84
20210521_Sup,m,plz,s,05/21/2021,1.43
20210623_Sup,m,plz,s,06/23/2021,0.29
20210811_Sup,m,plz,s,08/11/2021,0.4
20210826_Sup,m,plz,s,08/26/2021,0.2
20210914_Sup,m,plz,s,09/14/2021,0.2
20211013_Sup,m,plz,s,10/13/2021,0.42
20211112_Sup,m,plz,s,11/12/2021,0.49
20211215_Sup,m,plz,s,12/15/2021,0.43
20200721_Deep,m,plz,d,07/21/2020,0.41
20200805_Deep,m,plz,d,08/05/2020,0.27
20200824_Deep,m,plz,d,08/24/2020,0.2
20200831_Deep,m,plz,d,08/31/2020,0.14
BoaPlz_20200914_Deep,m,plz,d,09/14/2020,0.11
20210310_Deep,m,plz,d,03/10/2021,0.19
20210324_Deep,m,plz,d,03/24/2021,0.27
20210414_Deep,m,plz,d,04/14/2021,0.12
20210427_Deep,m,plz,d,04/27/2021,0.25
20210513_Deep,m,plz,d,05/13/2021,0.46
20210521_Deep,m,plz,d,05/21/2021,1.01
20210623_Deep,m,plz,d,06/23/2021,0.2
20210811_Deep,m,plz,d,08/11/2021,0.35
20210826_Deep,m,plz,d,08/26/2021,0.24
20210914_Deep,m,plz,d,09/14/2021,0.16
20211013_Deep,m,plz,d,10/13/2021,0.33
20211112_Deep,m,plz,d,11/12/2021,0.33
20211215_Deep,m,plz,d,12/15/2021,0.32
