code,lago,boa,prof,data,Green,Bluegreen,Diatoms,Cryptophyta,Planktothrix,Chl_tot
20200109_Sup,m,plz,s,01/09/2020,1.25,0,0.11,0,0.18,2.1
20200116_Sup,m,plz,s,01/16/2020,2.05,0,0.27,0.02,0.32,2.7
20200130_Sup,m,plz,s,01/30/2020,0.53,0,1.67,0.16,0.03,2.4
20200206_Sup,m,plz,s,02/06/2020,0.6,0,1.5,0.2,0.06,2.4
20200218_Sup,m,plz,s,02/18/2020,1.54,0,1.73,0.46,0.08,3.8
20200221_Sup,m,plz,s,02/21/2020,1.76,0,3.74,0.47,0.11,6.1
20200304_Sup,m,plz,s,03/04/2020,1.87,0,3.74,0,0.07,5.7
20200310_Sup,m,plz,s,03/10/2020,3.33,0,5.64,0.01,0.17,9.2
20200407_Sup,m,plz,s,04/07/2020,0.8,0,1.58,0.02,0,2.4
20200423_Sup,m,plz,s,04/23/2020,2.25,0,6.8,0,0,9
20200429_Sup,m,plz,s,04/29/2020,1.7,0,9.22,0,0,10.9
20200506_Sup,m,plz,s,05/06/2020,1.94,0,6.56,0.01,0,8.5
20200514_Sup,m,plz,s,05/14/2020,0,0,1.28,0.38,0.22,1.9
20200520_Sup,m,plz,s,05/20/2020,0.04,0,2.59,0.77,0,3.4
20200527_Sup,m,plz,s,05/27/2020,0.3,0.02,1.71,0.51,0,2.5
20200603_Sup,m,plz,s,06/03/2020,0,0.03,1.91,0.03,0,2
20200610_Sup,m,plz,s,06/10/2020,2.43,0,1.71,0.05,0.45,4.6
20200616_Sup,m,plz,s,06/16/2020,4.13,0,6.95,0.26,0,11.3
20200623_Sup,m,plz,s,06/23/2020,2.18,0,8.45,0,0,10.6
20200630_Sup,m,plz,s,06/30/2020,1.17,0.09,4.93,0.1,0,6.3
20200721_Sup,m,plz,s,07/21/2020,0.04,0,2.71,0.23,0.12,3.1
20200805_Sup,m,plz,s,08/05/2020,0,0,3.91,0.25,2.46,6.6
20200824_Sup,m,plz,s,08/24/2020,0,0,1.65,0.47,1.06,3.2
20200831_Sup,m,plz,s,08/31/2020,2.75,0,0,0,3.29,6
BoaPlz_20200914_Sup,m,plz,s,09/14/2020,1.34,0.17,0.01,0,0.96,2.5
20210310_Sup,m,plz,s,03/10/2021,0.67,0,2.52,0.68,0.03,3.9
20210324_Sup,m,plz,s,03/24/2021,1.12,0,1.96,0.28,0.16,3.52
20210414_Sup,m,plz,s,04/14/2021,0,0,1,2.21,0,3.21
20210427_Sup,m,plz,s,04/27/2021,0.79,0,1.97,0.27,0,3.03
20210513_Sup,m,plz,s,05/13/2021,0,0.07,6.52,0,0,6.59
20210521_Sup,m,plz,s,05/21/2021,0,0,12.4,0,0,12.4
20210623_Sup,m,plz,s,06/23/2021,0,0.01,1.7,0.22,0,1.93
20210811_Sup,m,plz,s,08/11/2021,0.45,0.01,1.85,0.44,0.3,3.05
20210826_Sup,m,plz,s,08/26/2021,0.01,0,1.63,0.2,0.27,2.11
20210914_Sup,m,plz,s,09/14/2021,0.09,0.02,1.11,0.49,0.25,1.95
20211013_Sup,m,plz,s,10/13/2021,1.07,0.01,2.14,1.21,0.32,4.75
20211112_Sup,m,plz,s,11/12/2021,7.09,0,0,0,1.25,8.34
20211215_Sup,m,plz,s,12/15/2021,6.58,0,0,0,0.81,7.4
20200721_Deep,m,plz,d,07/21/2020,0.15,0,4.05,0.37,0.79,5.4
20200805_Deep,m,plz,d,08/05/2020,0,0,4.88,0,2.8,7.7
20200824_Deep,m,plz,d,08/24/2020,2.49,0,0,0,2.4,4.9
20200831_Deep,m,plz,d,08/31/2020,2.35,0,0,0,2.94,5.3
BoaPlz_20200914_Deep,m,plz,d,09/14/2020,0,0,0,0,0,0
20210310_Deep,m,plz,d,03/10/2021,1.66,0,0.13,0,0.36,2.15
20210324_Deep,m,plz,d,03/24/2021,2.09,0,1.71,0,0.27,4.08
20210414_Deep,m,plz,d,04/14/2021,0,0,1.1,1.86,0,2.95
20210427_Deep,m,plz,d,04/27/2021,0.77,0,3.27,0.48,0.13,4.64
20210513_Deep,m,plz,d,05/13/2021,1.02,0,7.78,0.04,0,8.85
20210521_Deep,m,plz,d,05/21/2021,4.62,0,10.7,0,0,15.32
20210623_Deep,m,plz,d,06/23/2021,1.98,0,0.02,0,0.51,2.52
20210811_Deep,m,plz,d,08/11/2021,0.87,0,2.89,0.16,1.03,4.95
20210826_Deep,m,plz,d,08/26/2021,0.95,0,2.78,0,0.62,4.35
20210914_Deep,m,plz,d,09/14/2021,0.08,0,1.84,0.3,0.49,2.7
20211013_Deep,m,plz,d,10/13/2021,5.19,0,0.03,0,1.13,6.35
20211112_Deep,m,plz,d,11/12/2021,5.54,0,0,0,0.91,6.45
20211215_Deep,m,plz,d,12/15/2021,6.55,0,0,0,0.76,7.31
