code,lago,boa,prof,data,Alfa_car,bb_Car,g_car,Peri,Fuco,Diadi,Diatoxanthin,Dinox,Allo,Lute,Neox,Violax,Echi,Zeax,4-ketomyxol,Aphanizophyll,Oscillax,Myxo,Myxo_1,Myxodeg,Myxo_deg_1,Myxol_2,car_cyano,cantha_deg,Canta,car21.00,car22.7,car23.00,car24.8,car35.5,car_447nm,Chla,Chla0,Chla1,ChlaDv,Chlide_a,Phph_a1,Phph_a2,Chlc2,Phide_a1,Phide_a2,Phide_a3,Phide_a3.1,Chl_b,Chl_tot,Phph_a,Phpb-a,Grazing,diato,cripto,chloro,ciano,unknown,Diato_2,Cripto_2,Chloro_2,Ciano_2,noAssignation
20200109_Sup,m,plz,s,01/09/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200116_Sup,m,plz,s,01/16/2020,0.02,0.04,0.03,0.37,0.74,0.03,0.03,0,0.27,0.14,0,0,0.07,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0.08,0,0,0.02,0.02,1.31,0.01,0.01,0.01,0.02,0.01,0,0.45,0,0.01,0.01,0.01,0.02,1.87,0.02,0.01,0.01,61.32,0,10.75,8.88,9.4,0.8,0,0.14,0.12,0.17
20200130_Sup,m,plz,s,01/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200206_Sup,m,plz,s,02/06/2020,0.03,0.05,0.03,0,0.87,0.03,0.03,0,0.24,0.14,0,0,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0,1.4,0.01,0.1,0.02,0.08,0.03,0.01,0.5,0,0.01,0.01,0.01,0.02,2.2,0.04,0.03,0.02,66.01,0,10.15,9.8,11.03,0.92,0,0.14,0.14,0.15
20200218_Sup,m,plz,s,02/18/2020,0.03,0.06,0.04,0,0.98,0.03,0.03,0,0.27,0.15,0,0,0.07,0.06,0,0,0,0,0,0,0,0,0,0,0,0.07,0.13,0,0,0.02,0,2.03,0.02,0.18,0.02,0.04,0.02,0.02,0.65,0,0.01,0.11,0,0.04,3.14,0.04,0.12,0.06,51.35,0,7.62,6.83,9.49,1.04,0,0.15,0.14,0.22
20200221_Sup,m,plz,s,02/21/2020,0.04,0.08,0.05,0,1.27,0.06,0.05,0,0.4,0.21,0,0,0.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0.09,0.23,0.05,0,0.03,0,3.04,0.02,0.32,0.03,0.2,0.03,0.02,0.94,0,0.01,0.08,0,0.06,4.74,0.05,0.09,0.03,45.32,0,6.78,6.4,10.34,1.38,0,0.21,0.19,0.39
20200304_Sup,m,plz,s,03/04/2020,0.05,0.11,0.04,0,2.11,0.04,0.04,0,0.29,0.21,0,0,0.1,0.12,0,0,0,0,0,0,0,0,0,0,0,0.13,0.45,0.05,0,0,0,2.57,0.02,0.08,0.02,0.66,0.05,0,0.92,0,0.02,0.13,0.01,0.05,4.55,0.05,0.15,0.06,85.1,0,8.33,8.42,22.49,2.19,0,0.21,0.22,0.62
20200310_Sup,m,plz,s,03/10/2020,0.04,0.11,0.05,0,1.33,0.05,0.05,0,0.41,0.22,0,0,0.1,0.13,0,0,0,0,0,0,0,0,0,0,0,0.14,0.55,0.06,0,0.03,0.04,3.14,0.02,0.18,0.04,0.44,0.06,0.01,1.19,0,0.03,0.31,0,0.1,5.52,0.07,0.34,0.11,45.41,0,7.1,7.23,21.99,1.43,0,0.22,0.23,0.82
20200407_Sup,m,plz,s,04/07/2020,0.02,0.04,0.02,0.25,0.43,0,0.03,0,0.18,0.14,0,0.03,0.07,0.08,0,0,0,0,0,0,0,0,0,0,0,0.03,0.06,0.02,0,0.02,0,0.67,0,0.08,0,0.07,0.01,0,0.23,0,0,0.01,0,0.08,1.16,0.01,0.01,0.01,67.49,0,25.41,22.37,13.28,0.45,0,0.17,0.15,0.13
20200423_Sup,m,plz,s,04/23/2020,0.04,0.08,0.04,0,2.8,0.04,0.04,0,0.28,0.22,0,0.17,0.1,0.12,0,0,0,0,0,0,0,0,0,0,0,0.18,0.51,0.11,0,0.03,0,2.97,0.01,0.82,0.02,0.4,0.01,0.01,1.55,0,0,0.01,0,0.23,6.03,0.02,0.02,0.01,96.85,0,13.13,7.48,23.36,2.88,0,0.39,0.22,0.83
20200429_Sup,m,plz,s,04/29/2020,0.05,0.09,0.04,0,3.31,0.04,0.04,0,0.29,0.24,0,0.13,0.1,0.13,0,0,0,0,0,0,0,0,0,0,0,0.2,0.63,0.06,0.05,0.03,0,3.13,0.01,0.5,0.04,1.03,0.02,0.01,1.98,0,0.02,0.03,0,0.19,6.96,0.03,0.05,0.02,108.37,0,11.99,7.49,26.45,3.39,0,0.38,0.23,0.97
20200506_Sup,m,plz,s,05/06/2020,0.06,0.12,0.05,0,2.99,0.05,0.05,0,0.35,0.3,0,0.12,0.13,0.18,0,0,0,0,0,0.03,0,0,0,0,0,0.17,0.78,0.12,0.06,0.04,0,2.67,0,0.17,0.03,1.68,0.01,0.01,1.77,0,0.02,0.06,0.02,0.19,6.63,0.02,0.07,0.03,115.51,0,15.73,12.49,35.61,3.09,0,0.42,0.33,1.18
20200514_Sup,m,plz,s,05/14/2020,0.05,0.07,0.05,0.52,0.5,0.04,0.04,0,0.35,0.29,0,0.05,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0.04,0.11,0.03,0,0.04,0,1.6,0,0.02,0.02,0.14,0.01,0,0.45,0,0.01,0.01,0,0.09,2.35,0.01,0.02,0.01,36.84,0,21.73,15.67,9.26,0.59,0,0.35,0.25,0.22
20200520_Sup,m,plz,s,05/20/2020,0.05,0.08,0.06,0.63,0.75,0.05,0.06,0,0.5,0.32,0,0.1,0.11,0.21,0,0,0,0,0,0,0,0,0,0,0,0.07,0.19,0.04,0,0.04,0,2.65,0.01,0.06,0.04,0.12,0.01,0,0.79,0,0.02,0.01,0.01,0.11,3.83,0.01,0.03,0.01,32.36,0,15.83,11.87,9.82,0.86,0,0.42,0.31,0.34
20200527_Sup,m,plz,s,05/27/2020,0.06,0.1,0.05,0.61,0.77,0.05,0.05,0,0.45,0.35,0,0.15,0.11,0.22,0,0,0,0,0,0,0,0,0,0,0,0.08,0.23,0.05,0,0.05,0,2.25,0,0.02,0.02,0.18,0.01,0,0.65,0,0.01,0.01,0,0.15,3.29,0.01,0.01,0.01,38.5,0,22.51,14.71,13.85,0.86,0,0.51,0.33,0.41
20200603_Sup,m,plz,s,06/03/2020,0.03,0.03,0.03,0.38,0.45,0.03,0.03,0,0.22,0.15,0.02,0.06,0.07,0.06,0,0,0,0,0,0,0,0,0,0,0,0.03,0.08,0.02,0,0.02,0,1.05,0,0.05,0.01,0,0.01,0,0.29,0.03,0,0,0,0.05,1.5,0.01,0.04,0.04,48.53,0,21.66,12.52,10.55,0.51,0,0.23,0.13,0.16
20200610_Sup,m,plz,s,06/10/2020,0.04,0.08,0.05,0.57,1.08,0.05,0.05,0,0.44,0.24,0.05,0.09,0.1,0.14,0,0,0,0,0,0,0,0,0,0,0,0.07,0.15,0.04,0,0.03,0.04,2.6,0.01,0.09,0.01,0.05,0.02,0.01,0.91,0.13,0.05,0.01,0.06,0.16,4.11,0.03,0.18,0.07,45.12,0,14.47,9.37,8.28,1.17,0,0.38,0.24,0.33
20200616_Sup,m,plz,s,06/16/2020,0.07,0.12,0.06,0.93,1.48,0.05,0.05,0,0.45,0.3,0.05,0.16,0.11,0.31,0,0,0,0,0,0,0,0,0,0,0,0.11,0.26,0.05,0,0.05,0.05,4.17,0.02,0.27,0.03,0.11,0.04,0.01,1.27,0.72,0.07,0.02,0.08,0.23,7.03,0.05,0.82,0.19,38.08,0,12.16,10.16,8.9,1.59,0,0.51,0.42,0.51
20200623_Sup,m,plz,s,06/23/2020,0.1,0.2,0.05,0.94,2.19,0.05,0.05,0,0.4,0.32,0.06,0.17,0.14,0.24,0,0,0,0,0,0,0,0,0,0,0,0.16,0.34,0.08,0,0.05,0.06,3.87,0.01,0.18,0.02,0.16,0.03,0.01,1.39,0.56,0.07,0.05,0.06,0.14,6.54,0.04,0.67,0.17,59.43,0,14.19,9.78,13.08,2.3,0,0.55,0.38,0.69
20200630_Sup,m,plz,s,06/30/2020,0.09,0.18,0.05,1,1.58,0.05,0.05,0,0.39,0.3,0.06,0.1,0.14,0.21,0,0,0,0,0,0.01,0,0,0,0,0,0.11,0.39,0.08,0.05,0.05,0.06,3.16,0.01,0.07,0.02,0.05,0.03,0.01,1.1,0.18,0.03,0.02,0.04,0.14,4.87,0.05,0.24,0.08,53.35,0,14.5,11.23,15.82,1.68,0,0.46,0.35,0.73
20200721_Sup,m,plz,s,07/21/2020,0.08,0.12,0.07,0,1.01,0,0,0,0.54,0.39,0,0.08,0.21,0.34,0,0,0,0,0,0,0,0,0,0,0,0.1,0.27,0.07,0,0.07,0.08,2.38,0,0.1,0.03,0.14,0.01,0.01,0.42,0,0,0,0,0.09,3.18,0.02,0,0,42.22,0,19.57,23.13,15.72,3.08,0,0.94,1.08,1.4
20200805_Sup,m,plz,s,08/05/2020,0.15,0.23,0.12,0,1.75,0,0,0,0.94,0.65,0,0.13,0.36,0.58,0,0,0,0,0,0,0,0,0,0,0,0.15,0.41,0,0,0.13,0.14,5.12,0,0.14,0.07,0.53,0.02,0.01,1.12,0,0,0,0,0.15,7.16,0.03,0,0,34.2,0,15.17,18.38,11.04,3.45,0,1.56,1.8,1.52
