code,lago,boa,prof,data,Chl_a,Chl_b,Chl_c,Chl_tot,TC,430:410
20200109_Sup,m,plz,s,01/09/2020,,,,,,
20200116_Sup,m,plz,s,01/16/2020,1.6,0.06,0.23,1.89,0.83,1.257
20200130_Sup,m,plz,s,01/30/2020,,,,,,
20200206_Sup,m,plz,s,02/06/2020,2,0.11,0.22,2.32,0.85,1.192
20200218_Sup,m,plz,s,02/18/2020,3.11,0.26,0.36,3.71,1.12,1.146
20200221_Sup,m,plz,s,02/21/2020,5,0.47,0.55,5.99,1.84,1.193
20200304_Sup,m,plz,s,03/04/2020,4.84,0.21,0.45,5.47,1.93,1.198
20200310_Sup,m,plz,s,03/10/2020,6.53,0.38,0.58,7.46,2.72,1.146
20200407_Sup,m,plz,s,04/07/2020,1.2,0.22,0.23,1.64,0.54,1.191
20200423_Sup,m,plz,s,04/23/2020,6.04,0.74,0.83,7.57,3.02,1.259
20200429_Sup,m,plz,s,04/29/2020,6.47,0.65,0.98,8.06,3.49,1.283
20200506_Sup,m,plz,s,05/06/2020,5.59,0.57,0.96,7.08,3.83,1.287
20200514_Sup,m,plz,s,05/14/2020,1.97,0.28,0.31,2.55,1.14,1.273
20200520_Sup,m,plz,s,05/20/2020,3.13,0.3,0.51,3.92,2.05,1.289
20200527_Sup,m,plz,s,05/27/2020,2.64,0.28,0.39,3.3,2.14,1.327
20200603_Sup,m,plz,s,06/03/2020,1.78,0.12,0.3,2.18,0.89,1.148
20200610_Sup,m,plz,s,06/10/2020,4.18,0.33,0.69,5.17,2.38,1.187
20200616_Sup,m,plz,s,06/16/2020,7.71,0.73,1.21,9.6,3.66,1.173
20200623_Sup,m,plz,s,06/23/2020,7.58,0.58,1.28,9.38,4.59,1.177
20200630_Sup,m,plz,s,06/30/2020,5.31,0.41,0.88,6.57,3.59,1.213
20200721_Sup,m,plz,s,07/21/2020,3.55,0.09,0.42,4.04,2.35,1.294
20200805_Sup,m,plz,s,08/05/2020,7.39,-0.18,0.58,7.75,4.13,1.318
20200824_Sup,m,plz,s,08/24/2020,4.34,-0.23,0.07,4.17,3.14,1.345
20200831_Sup,m,plz,s,08/31/2020,4.48,-0.09,0.22,4.6,2.9,1.304
BoaPlz_20200914_Sup,m,plz,s,09/14/2020,3.06,0.01,0.34,3.4,1.73,1.323
20210310_Sup,m,plz,s,03/10/2021,2.19,0.24,0.31,2.72,1.26,1.319
20210324_Sup,m,plz,s,03/24/2021,1.88,0.13,0.27,2.27,1.26,1.32
20210414_Sup,m,plz,s,04/14/2021,1.76,0.15,0.36,2.25,1,1.194
20210427_Sup,m,plz,s,04/27/2021,2.15,0.22,0.42,2.77,1.13,1.256
20210513_Sup,m,plz,s,05/13/2021,5.81,0.54,0.9,7.21,2.29,1.242
20210521_Sup,m,plz,s,05/21/2021,8.69,0.46,1.63,10.72,4.43,1.279
20210623_Sup,m,plz,s,06/23/2021,1.96,0.1,0.42,2.47,1.25,1.233
20210811_Sup,m,plz,s,08/11/2021,3.71,-0.02,0.62,4.29,2.37,1.302
20210826_Sup,m,plz,s,08/26/2021,1.53,0.08,0.21,1.81,0.73,1.277
20210914_Sup,m,plz,s,09/14/2021,1.91,0.03,0.22,2.15,1.12,1.315
20211013_Sup,m,plz,s,10/13/2021,3.71,0.04,0.48,4.21,1.96,1.281
20211112_Sup,m,plz,s,11/12/2021,4.39,-0.06,0.55,4.86,1.85,1.245
20211215_Sup,m,plz,s,12/15/2021,5.06,-0.04,0.42,5.41,1.63,1.164
20200721_Deep,m,plz,d,07/21/2020,7.31,0.19,1.12,8.57,4.17,1.293
20200805_Deep,m,plz,d,08/05/2020,6.55,-0.17,0.47,6.82,3.34,1.283
20200824_Deep,m,plz,d,08/24/2020,5.09,-0.32,0.05,4.8,2.81,1.278
20200831_Deep,m,plz,d,08/31/2020,5.97,-0.23,0.14,5.86,3.82,1.319
BoaPlz_20200914_Deep,m,plz,d,09/14/2020,3.11,-0.07,0.49,3.52,1.93,1.285
20210310_Deep,m,plz,d,03/10/2021,1.17,-0.02,0.13,1.28,0.53,1.169
20210324_Deep,m,plz,d,03/24/2021,2.26,0.26,0.47,2.98,2.23,1.264
20210414_Deep,m,plz,d,04/14/2021,1.9,0.21,0.43,2.53,1.16,1.18
20210427_Deep,m,plz,d,04/27/2021,4.38,0.28,0.51,5.15,2.03,1.259
20210513_Deep,m,plz,d,05/13/2021,6.29,0.4,0.82,7.46,2.12,1.241
20210521_Deep,m,plz,d,05/21/2021,10.2,0.71,1.89,12.73,4.53,1.256
20210623_Deep,m,plz,d,06/23/2021,1.76,0,0.18,1.93,1.04,1.181
20210811_Deep,m,plz,d,08/11/2021,4.8,0.01,0.56,5.34,2.1,1.227
20210826_Deep,m,plz,d,08/26/2021,3.34,0.16,0.52,4.01,1.54,1.209
20210914_Deep,m,plz,d,09/14/2021,2.39,0.04,0.26,2.68,1.41,1.303
20211013_Deep,m,plz,d,10/13/2021,4.59,0.06,0.56,5.2,2.13,1.218
20211112_Deep,m,plz,d,11/12/2021,4.3,-0.1,0.43,4.61,1.57,1.208
20211215_Deep,m,plz,d,12/15/2021,5.6,-0.01,0.5,6.07,1.89,1.175
