datetimeisoformat,Ch1-S,Ch2-D,PC3,PE4
2021-03-31T00:00:34.029988+00:00,0.35,0.37,0.07,0.17
2021-03-31T00:01:34.073487+00:00,0.42,0.44,0.08,0.16
2021-03-31T00:02:34.170261+00:00,0.45,0.41,0.08,0.16
2021-03-31T00:03:32.666703+00:00,0.44,0.33,0.07,0.15
2021-03-31T00:04:32.696284+00:00,0.43,0.34,0.09,0.17
2021-03-31T00:05:32.767006+00:00,0.37,0.42,0.07,0.16
2021-03-31T00:06:32.845699+00:00,0.4,0.41,0.08,0.17
2021-03-31T00:07:32.952251+00:00,0.36,0.35,0.11,0.16
2021-03-31T00:08:33.045288+00:00,0.43,0.36,0.06,0.16
2021-03-31T00:09:33.156143+00:00,0.42,0.37,0.06,0.16
2021-03-31T00:10:33.225264+00:00,0.5,0.39,0.09,0.16
2021-03-31T00:11:33.223362+00:00,0.49,0.33,0.06,0.16
2021-03-31T00:12:33.301525+00:00,0.42,0.33,0.06,0.16
2021-03-31T00:13:33.366825+00:00,0.43,0.44,0.06,0.17
2021-03-31T00:14:33.464812+00:00,0.43,0.34,0.06,0.16
2021-03-31T00:15:33.558227+00:00,0.44,0.39,0.06,0.17
2021-03-31T00:16:33.594414+00:00,0.5,0.3,0.07,0.18
2021-03-31T00:17:33.665731+00:00,0.46,0.29,0.08,0.17
2021-03-31T00:18:33.743096+00:00,0.44,0.32,0.09,0.18
2021-03-31T00:19:33.810285+00:00,0.44,0.26,0.04,0.17
2021-03-31T00:20:33.890091+00:00,0.39,0.27,0.07,0.17
2021-03-31T00:21:33.881590+00:00,0.41,0.38,0.08,0.17
2021-03-31T00:22:33.981722+00:00,0.48,0.34,0.07,0.18
2021-03-31T00:23:34.022879+00:00,0.42,0.43,0.06,0.19
2021-03-31T00:24:34.135289+00:00,0.46,0.41,0.08,0.18
2021-03-31T00:25:34.198193+00:00,0.46,0.38,0.08,0.18
2021-03-31T00:26:32.636119+00:00,0.5,0.36,0.07,0.17
2021-03-31T00:27:32.703909+00:00,0.46,0.38,0.07,0.19
2021-03-31T00:28:32.797564+00:00,0.55,0.37,0.07,0.26
2021-03-31T00:29:32.892508+00:00,0.47,0.36,0.08,0.21
2021-03-31T00:30:32.927530+00:00,0.42,0.36,0.06,0.18
2021-03-31T00:31:32.973584+00:00,0.47,0.4,0.05,0.18
2021-03-31T00:32:33.032708+00:00,0.59,0.38,0.09,0.17
2021-03-31T00:33:33.123027+00:00,0.42,0.35,0.06,0.17
2021-03-31T00:34:33.175194+00:00,0.44,0.31,0.06,0.18
2021-03-31T00:35:33.197776+00:00,0.44,0.36,0.08,0.2
2021-03-31T00:36:33.280835+00:00,0.46,0.34,0.08,0.2
2021-03-31T00:37:33.326418+00:00,0.51,0.35,0.04,0.18
2021-03-31T00:38:33.382542+00:00,0.49,0.42,0.1,0.18
2021-03-31T00:39:33.467311+00:00,0.42,0.34,0.06,0.18
2021-03-31T00:40:33.459126+00:00,0.4,0.36,0.05,0.18
2021-03-31T00:41:33.542480+00:00,0.47,0.44,0.09,0.18
2021-03-31T00:42:33.637003+00:00,0.46,0.4,0.06,0.17
2021-03-31T00:43:33.633549+00:00,0.41,0.39,0.08,0.18
2021-03-31T00:44:33.690971+00:00,0.46,0.45,0.08,0.19
2021-03-31T00:45:33.744232+00:00,0.46,0.36,0.08,0.19
2021-03-31T00:46:33.839055+00:00,0.49,0.37,0.06,0.19
2021-03-31T00:47:33.934336+00:00,0.42,0.38,0.05,0.19
2021-03-31T00:48:33.920887+00:00,0.48,0.35,0.06,0.16
2021-03-31T00:49:34.007205+00:00,0.45,0.38,0.06,0.16
2021-03-31T00:50:34.065049+00:00,0.44,0.33,0.06,0.18
2021-03-31T00:51:34.144313+00:00,0.48,0.37,0.12,0.18
2021-03-31T00:52:34.187978+00:00,0.46,0.36,0.05,0.16
2021-03-31T00:53:34.175194+00:00,0.49,0.33,0.08,0.17
2021-03-31T00:54:32.647737+00:00,0.45,0.36,0.09,0.16
2021-03-31T00:55:32.757150+00:00,0.45,0.38,0.07,0.16
2021-03-31T00:56:32.870962+00:00,0.52,0.4,0.09,0.16
2021-03-31T00:57:32.938007+00:00,0.43,0.34,0.09,0.17
2021-03-31T00:58:33.029979+00:00,0.43,0.38,0.06,0.16
2021-03-31T00:59:33.096303+00:00,0.45,0.34,0.05,0.16
2021-03-31T01:00:33.132378+00:00,0.42,0.35,0.1,0.16
2021-03-31T01:01:33.199647+00:00,0.44,0.34,0.07,0.16
2021-03-31T01:02:33.262435+00:00,0.45,0.36,0.08,0.15
2021-03-31T01:03:33.331240+00:00,0.42,0.38,0.07,0.15
2021-03-31T01:04:33.407698+00:00,0.46,0.35,0.09,0.18
2021-03-31T01:05:33.427367+00:00,0.52,0.36,0.09,0.19
2021-03-31T01:06:33.500282+00:00,0.46,0.33,0.06,0.21
2021-03-31T01:07:33.559064+00:00,0.43,0.34,0.07,0.21
2021-03-31T01:08:33.619300+00:00,0.49,0.39,0.05,0.16
2021-03-31T01:09:33.714331+00:00,0.43,0.35,0.1,0.17
2021-03-31T01:10:33.827643+00:00,0.44,0.38,0.05,0.17
2021-03-31T01:11:33.918442+00:00,0.45,0.41,0.08,0.16
2021-03-31T01:12:33.994912+00:00,0.42,0.34,0.06,0.16
2021-03-31T01:13:34.046072+00:00,0.49,0.38,0.04,0.16
2021-03-31T01:14:34.108725+00:00,0.43,0.37,0.05,0.15
2021-03-31T01:15:34.139747+00:00,0.47,0.34,0.05,0.16
2021-03-31T01:16:34.170071+00:00,0.41,0.36,0.05,0.16
2021-03-31T01:17:34.166738+00:00,0.39,0.37,0.1,0.16
2021-03-31T01:18:32.642440+00:00,0.4,0.33,0.1,0.17
2021-03-31T01:19:32.697459+00:00,0.51,0.43,0.08,0.19
2021-03-31T01:20:32.781795+00:00,0.42,0.38,0.05,0.18
2021-03-31T01:21:32.817831+00:00,0.48,0.39,0.07,0.17
2021-03-31T01:22:32.828470+00:00,0.43,0.37,0.08,0.16
2021-03-31T01:23:32.904290+00:00,0.49,0.35,0.08,0.16
2021-03-31T01:24:32.968730+00:00,0.48,0.93,0.06,0.17
2021-03-31T01:25:33.057240+00:00,0.47,0.48,0.08,0.17
2021-03-31T01:26:33.101495+00:00,0.45,0.37,0.06,0.17
2021-03-31T01:27:33.154456+00:00,0.44,0.33,0.09,0.17
2021-03-31T01:28:33.214178+00:00,0.48,0.34,0.06,0.17
2021-03-31T01:29:33.299201+00:00,0.48,0.39,0.06,0.17
2021-03-31T01:30:33.368265+00:00,0.48,0.38,0.03,0.17
2021-03-31T01:31:33.437323+00:00,0.41,0.33,0.07,0.17
2021-03-31T01:32:33.531323+00:00,0.55,0.36,0.08,0.19
2021-03-31T01:33:33.574449+00:00,0.5,0.33,0.07,0.18
2021-03-31T01:34:33.692643+00:00,0.48,0.37,0.46,0.26
2021-03-31T01:35:33.770072+00:00,0.44,0.35,0.06,0.18
2021-03-31T01:36:33.804807+00:00,0.53,0.39,0.07,0.17
2021-03-31T01:37:33.942096+00:00,0.44,0.34,0.04,0.17
2021-03-31T01:38:33.998303+00:00,0.43,0.39,0.09,0.2
2021-03-31T01:39:34.116408+00:00,0.55,0.36,0.06,0.2
2021-03-31T01:40:34.172047+00:00,0.52,0.39,0.12,0.18
2021-03-31T01:41:34.167532+00:00,0.44,0.43,0.09,0.17
2021-03-31T01:42:32.635049+00:00,0.46,0.36,0.07,0.18
2021-03-31T01:43:32.694699+00:00,0.44,0.39,0.09,0.18
2021-03-31T01:44:32.762533+00:00,0.49,0.35,0.08,0.18
2021-03-31T01:45:32.812771+00:00,0.51,0.35,0.07,0.16
2021-03-31T01:46:32.918052+00:00,0.58,0.54,0.05,0.19
2021-03-31T01:47:33.029095+00:00,0.53,0.4,0.09,0.17
2021-03-31T01:48:33.096172+00:00,0.6,0.35,0.08,0.17
2021-03-31T01:49:33.221500+00:00,0.49,0.35,0.07,0.19
2021-03-31T01:50:33.283155+00:00,0.4,0.35,0.07,0.17
2021-03-31T01:51:33.300963+00:00,0.56,0.4,0.08,0.16
2021-03-31T01:52:33.387230+00:00,0.52,0.38,0.08,0.19
2021-03-31T01:53:33.398780+00:00,0.47,0.41,0.08,0.17
2021-03-31T01:54:33.512804+00:00,0.45,0.49,0.08,0.18
2021-03-31T01:55:33.591810+00:00,0.44,0.42,0.11,0.17
2021-03-31T01:56:33.654469+00:00,0.52,0.35,0.06,0.18
2021-03-31T01:57:33.713877+00:00,0.43,0.35,0.08,0.18
2021-03-31T01:58:33.811854+00:00,0.46,0.36,0.08,0.19
2021-03-31T01:59:33.922424+00:00,0.5,0.36,0.08,0.17
2021-03-31T02:00:33.994168+00:00,0.54,0.33,0.08,0.18
2021-03-31T02:01:34.068345+00:00,0.53,0.35,0.08,0.18
2021-03-31T02:02:34.072893+00:00,0.52,0.47,0.1,0.17
2021-03-31T02:03:34.098414+00:00,0.46,0.41,0.06,0.19
2021-03-31T02:04:34.134559+00:00,0.5,0.33,0.09,0.17
2021-03-31T02:05:34.187973+00:00,0.47,0.36,0.09,0.17
