datetimeisoformat,Ch1-S,Ch2-D,PC3,PE4
2022-03-21T17:32:27.224135+00:00,0.35,0.33,0.04,0.12
2022-03-21T17:32:37.126724+00:00,0.35,0.23,0.07,0.1
2022-03-21T17:32:46.973356+00:00,0.34,0.24,0.04,0.11
2022-03-21T17:32:56.894845+00:00,0.38,0.22,0.04,0.11
2022-03-21T17:33:06.780466+00:00,0.46,0.27,0.06,0.12
2022-03-21T17:33:16.658320+00:00,0.41,0.3,0.06,0.11
2022-03-21T17:33:26.542549+00:00,0.4,0.2,0.04,0.1
2022-03-21T17:33:36.441740+00:00,0.33,0.24,0.04,0.11
2022-03-21T17:34:49.103511+00:00,0.37,0.29,0.08,0.1
2022-03-21T17:35:10.085278+00:00,0.36,0.3,0.02,0.13
2022-03-21T17:35:11.896302+00:00,0.39,0.26,0.07,0.11
2022-03-21T17:35:18.570201+00:00,0.39,0.29,0.05,0.13
2022-03-21T17:35:29.099137+00:00,0.38,0.31,0.09,0.11
2022-03-21T17:35:38.957396+00:00,0.32,0.33,0.03,0.1
2022-03-21T17:35:48.830330+00:00,0.37,0.24,0.06,0.11
2022-03-21T17:35:58.692424+00:00,0.41,0.3,0.05,0.11
2022-03-21T17:36:08.549411+00:00,0.42,0.26,0.06,0.11
2022-03-21T17:36:18.471532+00:00,0.35,0.36,0.04,0.11
2022-03-21T17:36:28.323779+00:00,0.48,0.29,0.07,0.13
2022-03-21T17:36:38.202485+00:00,0.42,0.27,0.08,0.12
2022-03-21T17:36:48.078578+00:00,0.4,0.26,0.06,0.11
2022-03-21T17:36:57.951026+00:00,0.37,0.28,0.06,0.13
2022-03-21T17:37:07.804537+00:00,0.42,0.23,0.04,0.1
2022-03-21T17:37:17.663743+00:00,0.38,0.26,0.03,0.12
2022-03-21T17:37:29.122931+00:00,0.46,0.3,0.07,0.1
2022-03-21T17:37:38.974209+00:00,0.32,0.26,0.05,0.1
2022-03-21T17:37:48.891975+00:00,0.5,0.5,0.03,0.1
2022-03-21T17:37:58.833041+00:00,0.37,0.3,0.06,0.1
2022-03-21T17:38:08.707241+00:00,0.35,0.28,0.06,0.11
2022-03-21T17:38:18.563165+00:00,0.36,0.38,0.06,0.12
2022-03-21T17:38:28.415204+00:00,0.34,0.27,0.07,0.11
2022-03-21T17:38:38.279443+00:00,0.4,0.28,0.06,0.11
2022-03-21T17:38:48.187796+00:00,0.4,0.25,0.03,0.1
2022-03-21T17:38:58.083341+00:00,0.33,0.25,0.04,0.11
2022-03-21T17:39:07.949387+00:00,0.35,0.5,0.1,0.14
2022-03-21T17:39:17.826364+00:00,0.34,0.24,0.04,0.14
2022-03-21T17:39:27.695673+00:00,0.34,0.23,0.07,0.1
2022-03-21T17:39:39.175063+00:00,0.37,0.31,0.08,0.15
2022-03-21T17:39:49.029432+00:00,0.43,0.23,0.08,0.1
2022-03-21T17:39:58.882757+00:00,0.39,0.22,0.05,0.11
2022-03-21T17:40:08.765871+00:00,0.41,0.46,0.02,0.1
2022-03-21T17:40:18.646250+00:00,0.36,0.26,0.05,0.11
2022-03-21T17:40:28.496391+00:00,0.35,0.28,0.07,0.11
2022-03-21T17:40:38.365407+00:00,0.45,0.26,0.07,0.11
2022-03-21T17:40:48.247869+00:00,0.48,0.32,0.04,0.12
2022-03-21T17:40:58.133833+00:00,0.42,0.29,0.04,0.1
2022-03-21T17:41:07.996165+00:00,0.44,0.28,0.08,0.11
2022-03-21T17:41:17.902826+00:00,0.37,0.23,0.09,0.11
2022-03-21T17:41:27.793347+00:00,0.34,0.29,0.07,0.13
2022-03-21T17:41:37.694129+00:00,0.4,0.33,0.06,0.1
2022-03-21T17:41:49.169544+00:00,0.43,0.38,0.06,0.12
2022-03-21T17:41:59.031774+00:00,0.43,0.25,0.04,0.11
2022-03-21T17:42:08.875405+00:00,0.36,0.29,0.05,0.13
2022-03-21T17:42:17.787781+00:00,0.35,0.31,0.04,0.13
2022-03-21T17:42:27.654875+00:00,0.35,0.24,0.06,0.11
2022-03-21T17:42:39.178683+00:00,0.39,0.23,0.05,0.1
2022-03-21T17:42:49.056812+00:00,0.46,0.38,0.06,0.14
2022-03-21T17:42:58.912246+00:00,0.44,0.21,0.04,0.11
2022-03-21T17:43:08.802034+00:00,0.49,0.21,0.02,0.12
2022-03-21T17:43:18.683837+00:00,0.38,0.27,0.05,0.11
2022-03-21T17:43:28.553007+00:00,0.46,0.3,0.06,0.15
2022-03-21T17:43:38.411649+00:00,0.45,0.24,0.06,0.11
2022-03-21T17:43:48.284710+00:00,0.38,0.35,0.06,0.11
2022-03-21T17:43:58.188494+00:00,0.4,0.36,0.05,0.1
2022-03-21T17:44:08.043994+00:00,0.41,0.32,0.04,0.11
2022-03-21T17:44:17.980365+00:00,0.42,0.3,0.07,0.11
2022-03-21T17:44:27.847450+00:00,0.38,0.31,0.05,0.11
2022-03-21T17:44:37.717206+00:00,0.39,0.2,0.05,0.1
2022-03-21T17:44:49.177944+00:00,0.45,0.28,0.05,0.13
2022-03-21T17:44:59.048644+00:00,0.48,0.24,0,0.11
2022-03-21T17:45:08.943666+00:00,0.45,0.27,0.08,0.11
2022-03-21T17:45:18.905302+00:00,0.4,0.23,0.05,0.1
2022-03-21T17:45:28.795141+00:00,0.43,0.21,0.02,0.12
2022-03-21T17:45:38.699782+00:00,0.35,0.29,0.08,0.1
2022-03-21T17:45:48.632940+00:00,0.38,0.27,0.06,0.12
2022-03-21T17:45:58.518414+00:00,0.39,0.24,0.05,0.13
2022-03-21T17:46:08.369755+00:00,0.36,0.26,0.04,0.1
2022-03-21T17:46:18.266466+00:00,0.36,0.29,0.06,0.12
2022-03-21T17:46:28.149954+00:00,0.35,0.31,0.05,0.1
2022-03-21T17:46:38.088560+00:00,0.45,0.24,0.06,0.11
2022-03-21T17:46:47.975859+00:00,0.36,0.27,0.06,0.13
2022-03-21T17:46:57.889701+00:00,0.45,0.27,0.04,0.11
2022-03-21T17:47:07.758086+00:00,0.4,0.31,0.03,0.1
2022-03-21T17:47:17.641070+00:00,0.39,0.25,0.06,0.11
2022-03-21T17:47:29.155921+00:00,0.36,0.33,0.02,0.11
2022-03-21T17:47:39.019728+00:00,0.44,0.26,0.05,0.11
2022-03-21T17:47:48.903390+00:00,0.43,0.44,0.06,0.14
2022-03-21T17:47:58.786168+00:00,0.36,0.29,0.03,0.11
2022-03-21T17:48:08.638154+00:00,0.36,0.38,0.04,0.11
2022-03-21T17:48:18.531000+00:00,0.42,0.23,0.03,0.11
2022-03-21T17:48:28.391138+00:00,0.38,0.26,0.01,0.1
2022-03-21T17:48:38.272357+00:00,0.39,0.26,0.08,0.11
2022-03-21T17:48:48.147378+00:00,0.42,0.39,0.06,0.11
2022-03-21T17:48:58.026824+00:00,0.49,0.29,0.06,0.1
2022-03-21T17:49:07.900393+00:00,0.39,0.29,0.05,0.1
2022-03-21T17:49:17.818020+00:00,0.4,0.27,0.03,0.16
2022-03-21T17:49:27.710007+00:00,0.4,0.3,0.05,0.1
2022-03-21T17:49:39.176550+00:00,0.38,0.48,0.06,0.11
2022-03-21T17:49:49.101732+00:00,0.42,0.32,0.04,0.11
2022-03-21T17:49:58.987625+00:00,0.4,0.27,0.07,0.14
2022-03-21T17:50:08.870889+00:00,0.36,0.34,0.02,0.1
2022-03-21T17:50:18.750963+00:00,0.37,0.3,0.04,0.11
2022-03-21T17:50:28.627521+00:00,0.38,0.31,0.07,0.11
2022-03-21T17:50:38.498378+00:00,0.46,0.28,0.06,0.12
2022-03-21T17:50:48.363308+00:00,0.36,0.33,0.04,0.12
2022-03-21T17:50:58.242688+00:00,0.36,0.39,0.07,0.12
2022-03-21T17:51:08.102310+00:00,0.4,0.41,0.06,0.13
2022-03-21T17:51:17.983532+00:00,0.38,0.29,0.04,0.13
2022-03-21T17:51:27.834380+00:00,0.36,0.28,0.06,0.12
2022-03-21T17:51:37.715373+00:00,0.35,0.32,0.04,0.11
2022-03-21T17:51:49.174352+00:00,0.39,0.39,0.05,0.1
2022-03-21T17:51:59.043587+00:00,0.36,0.28,0.02,0.1
2022-03-21T17:52:08.919825+00:00,0.42,0.28,0.06,0.13
2022-03-21T17:52:18.808979+00:00,0.37,0.37,0.06,0.11
2022-03-21T17:52:28.676325+00:00,0.39,0.4,0.03,0.15
2022-03-21T17:52:38.574480+00:00,0.37,0.31,0.07,0.11
2022-03-21T17:52:48.439790+00:00,0.39,0.27,0.05,0.15
2022-03-21T17:52:58.339498+00:00,0.38,0.35,0.07,0.11
2022-03-21T17:53:08.306163+00:00,0.45,0.24,0.05,0.11
2022-03-21T17:53:18.180125+00:00,0.4,0.29,0.05,0.11
2022-03-21T17:53:28.064542+00:00,0.4,0.44,0.04,0.12
2022-03-21T17:53:37.937801+00:00,0.36,0.34,0.01,0.12
2022-03-21T17:53:47.859124+00:00,0.43,0.25,0.05,0.12
2022-03-21T17:53:57.726409+00:00,0.39,0.27,0.1,0.11
2022-03-21T17:54:09.219181+00:00,0.34,0.23,0.05,0.1
2022-03-21T17:54:19.123456+00:00,0.33,0.62,0.08,0.1
2022-03-21T17:54:29.024552+00:00,0.41,0.32,0.03,0.12
2022-03-21T17:54:38.922881+00:00,0.4,0.3,0.03,0.11
2022-03-21T17:54:48.808564+00:00,0.41,0.3,0.06,0.12
2022-03-21T17:54:58.684127+00:00,0.34,0.22,0.04,0.11
2022-03-21T17:55:08.559032+00:00,0.36,0.24,0.05,0.12
2022-03-21T17:55:18.418406+00:00,0.39,0.25,0.04,0.1
2022-03-21T17:55:28.297649+00:00,0.38,0.24,0.06,0.1
2022-03-21T17:55:38.304948+00:00,0.34,0.31,0.08,0.14
2022-03-21T17:55:48.170105+00:00,0.36,0.33,0.03,0.1
2022-03-21T17:55:58.064624+00:00,0.4,0.32,0.06,0.1
2022-03-21T17:56:07.963043+00:00,0.41,0.33,0.06,0.13
2022-03-21T17:56:17.824484+00:00,0.34,0.22,0.06,0.12
2022-03-21T17:56:27.733882+00:00,0.4,0.23,0.05,0.14
2022-03-21T17:56:37.691933+00:00,0.37,0.29,0.05,0.11
2022-03-21T17:56:49.192804+00:00,0.37,0.26,0.04,0.14
2022-03-21T17:56:59.101591+00:00,0.47,0.31,0.07,0.17
2022-03-21T17:57:09.026356+00:00,0.37,0.29,0.06,0.12
2022-03-21T17:57:18.918507+00:00,0.34,0.32,0.07,0.11
2022-03-21T17:57:28.813677+00:00,0.48,0.25,0.05,0.14
2022-03-21T17:57:38.735522+00:00,0.39,0.28,0.07,0.11
2022-03-21T17:57:48.620859+00:00,0.38,0.29,0.05,0.11
2022-03-21T17:57:58.566304+00:00,0.36,0.28,0.07,0.12
2022-03-21T17:58:08.261317+00:00,0.43,0.28,0.04,0.11
2022-03-21T17:58:18.098171+00:00,0.42,0.26,0.06,0.17
2022-03-21T17:58:27.996080+00:00,0.38,0.26,0.08,0.13
2022-03-21T17:58:37.929875+00:00,0.38,0.26,0.03,0.11
2022-03-21T17:58:47.840457+00:00,0.46,0.28,0.05,0.12
2022-03-21T17:58:57.806589+00:00,0.47,0.26,0.04,0.12
2022-03-21T17:59:07.665332+00:00,0.39,0.31,0.03,0.24
2022-03-21T17:59:19.154439+00:00,0.38,0.34,0.06,0.14
2022-03-21T17:59:29.023583+00:00,0.54,0.31,0.06,0.11
2022-03-21T17:59:38.913499+00:00,0.43,0.44,0.07,0.12
2022-03-21T17:59:48.783102+00:00,0.41,0.22,0.04,0.13
2022-03-21T17:59:58.679715+00:00,0.48,0.28,0.06,0.1
2022-03-21T18:00:08.531095+00:00,0.38,0.26,0.06,0.12
2022-03-21T18:00:18.412160+00:00,0.38,0.24,0.02,0.12
2022-03-21T18:00:28.293068+00:00,0.38,0.24,0.03,0.11
2022-03-21T18:00:38.267141+00:00,0.4,0.26,0.07,0.12
2022-03-21T18:00:48.299464+00:00,0.37,0.28,0.03,0.12
2022-03-21T18:00:58.182730+00:00,0.35,0.29,0.06,0.14
2022-03-21T18:01:08.066486+00:00,0.41,0.33,0.06,0.11
2022-03-21T18:01:17.950420+00:00,0.46,0.24,0.05,0.09
2022-03-21T18:01:27.809977+00:00,0.37,0.25,0.04,0.12
2022-03-21T18:01:37.719452+00:00,0.35,0.28,0.06,0.11
2022-03-21T18:01:47.624676+00:00,0.35,0.27,0.04,0.1
2022-03-21T18:01:59.120414+00:00,0.46,0.27,0.06,0.1
2022-03-21T18:02:09.026032+00:00,0.45,0.22,0.09,0.14
2022-03-21T18:02:18.887250+00:00,0.34,0.31,0.06,0.16
2022-03-21T18:02:28.796079+00:00,0.41,0.32,0.04,0.1
2022-03-21T18:02:38.694551+00:00,0.4,0.29,0.08,0.13
2022-03-21T18:02:48.555369+00:00,0.35,0.31,0.06,0.11
2022-03-21T18:02:58.519423+00:00,0.43,0.28,0.06,0.13
2022-03-21T18:03:08.484695+00:00,0.53,0.22,0.04,0.1
2022-03-21T18:03:18.392219+00:00,0.36,0.3,0.08,0.1
2022-03-21T18:03:28.262294+00:00,0.39,0.27,0.06,0.11
2022-03-21T18:03:38.164545+00:00,0.35,0.3,0.06,0.12
2022-03-21T18:03:48.141648+00:00,0.36,0.23,0.07,0.14
2022-03-21T18:03:58.003524+00:00,0.41,0.21,0.04,0.11
2022-03-21T18:04:07.893919+00:00,0.34,0.31,0.09,0.11
2022-03-21T18:04:17.788205+00:00,0.36,0.25,0.05,0.14
2022-03-21T18:04:27.709501+00:00,0.48,0.23,0.05,0.11
2022-03-21T18:04:39.196445+00:00,0.34,0.39,0.09,0.1
2022-03-21T18:04:49.083448+00:00,0.36,0.24,0.05,0.13
2022-03-21T18:04:58.981853+00:00,0.35,0.22,0.03,0.12
2022-03-21T18:05:08.843771+00:00,0.39,0.34,0.06,0.11
2022-03-21T18:05:18.804242+00:00,0.37,0.29,0.05,0.12
2022-03-21T18:05:28.700640+00:00,0.4,0.27,0.04,0.11
2022-03-21T18:05:38.160839+00:00,0.39,0.26,0.06,0.11
2022-03-21T18:05:48.155304+00:00,0.33,0.32,0.05,0.11
2022-03-21T18:05:58.126314+00:00,0.34,0.29,0.06,0.13
2022-03-21T18:06:07.981235+00:00,0.37,0.25,0.01,0.11
2022-03-21T18:06:17.874563+00:00,0.35,0.24,0.05,0.12
2022-03-21T18:06:27.772001+00:00,0.38,0.25,0.08,0.12
2022-03-21T18:06:37.673428+00:00,0.36,0.24,0.06,0.11
2022-03-21T18:06:49.160275+00:00,0.38,0.25,0.05,0.11
2022-03-21T18:06:59.041820+00:00,0.38,0.25,0.03,0.12
2022-03-21T18:07:09.080406+00:00,0.37,0.29,0.07,0.12
2022-03-21T18:07:18.988631+00:00,0.36,0.25,0.09,0.11
2022-03-21T18:07:28.863758+00:00,0.35,0.23,0.06,0.12
2022-03-21T18:07:38.745341+00:00,0.35,0.24,0.08,0.11
2022-03-21T18:07:48.615581+00:00,0.36,0.23,0.04,0.1
2022-03-21T18:07:58.516694+00:00,0.39,0.27,0.06,0.11
2022-03-21T18:08:08.411707+00:00,0.34,0.25,0.04,0.11
2022-03-21T18:08:18.265947+00:00,0.36,0.35,0.06,0.11
2022-03-21T18:08:28.181526+00:00,0.37,0.24,0.02,0.16
2022-03-21T18:08:38.056802+00:00,0.37,0.39,0.08,0.12
2022-03-21T18:08:47.946720+00:00,0.35,0.26,0.05,0.1
2022-03-21T18:08:57.809004+00:00,0.35,0.31,0.06,0.12
2022-03-21T18:09:07.670777+00:00,0.39,0.23,0.04,0.11
2022-03-21T18:09:19.204467+00:00,0.35,0.24,0.07,0.11
2022-03-21T18:09:29.058298+00:00,0.36,0.22,0.06,0.14
2022-03-21T18:09:38.926316+00:00,0.37,0.28,0.06,0.11
2022-03-21T18:09:48.770159+00:00,0.37,0.27,0.06,0.12
2022-03-21T18:09:58.681494+00:00,0.37,0.25,0.03,0.12
2022-03-21T18:10:08.565316+00:00,0.35,0.28,0.01,0.11
2022-03-21T18:10:18.473980+00:00,0.41,0.26,0.05,0.11
2022-03-21T18:10:28.364274+00:00,0.35,0.22,0.08,0.11
2022-03-21T18:10:38.253786+00:00,0.52,0.28,0.04,0.11
2022-03-21T18:10:48.157523+00:00,0.42,0.25,0.06,0.13
2022-03-21T18:10:58.028432+00:00,0.4,0.28,0.05,0.11
2022-03-21T18:11:07.900967+00:00,0.37,0.31,0.05,0.11
2022-03-21T18:11:17.757911+00:00,0.36,0.26,0.04,0.1
2022-03-21T18:11:27.682097+00:00,0.44,0.23,0.08,0.11
2022-03-21T18:11:37.696927+00:00,0.37,0.28,0.05,0.1
2022-03-21T18:11:49.181253+00:00,0.35,0.32,0.06,0.11
2022-03-21T18:11:59.113727+00:00,0.38,0.29,0.03,0.11
2022-03-21T18:12:08.992949+00:00,0.35,0.24,0.03,0.12
2022-03-21T18:12:18.912530+00:00,0.35,0.39,0.04,0.1
2022-03-21T18:12:28.789491+00:00,0.38,0.35,0.04,0.12
2022-03-21T18:12:38.674098+00:00,0.46,0.26,0.04,0.11
2022-03-21T18:12:48.531449+00:00,0.36,0.26,0.05,0.13
2022-03-21T18:12:58.463829+00:00,0.39,0.26,0.06,0.13
