datetimeisoformat;Ch1-S;Ch2-D;PC3;PE4
2022-03-29T00:00:06.048782+00:00;0.29;0.40;0.03;0.10;
2022-03-29T00:01:04.870463+00:00;0.32;0.32;0.05;0.10;
2022-03-29T00:02:05.364616+00:00;0.28;0.40;0.03;0.11;
2022-03-29T00:03:04.708906+00:00;0.32;0.27;0.01;0.13;
2022-03-29T00:04:05.171204+00:00;0.28;0.34;0.03;0.11;
2022-03-29T00:05:05.611768+00:00;0.28;0.29;0.06;0.10;
2022-03-29T00:06:06.151493+00:00;0.32;0.28;0.07;0.19;
2022-03-29T00:07:05.132802+00:00;0.33;0.34;0.04;0.13;
2022-03-29T00:08:05.717620+00:00;0.28;0.29;0.05;0.11;
2022-03-29T00:09:06.217423+00:00;0.28;0.26;0.04;0.09;
2022-03-29T00:10:05.054299+00:00;0.53;0.25;0.05;0.12;
2022-03-29T00:11:05.473715+00:00;0.32;0.31;0.04;0.13;
2022-03-29T00:12:05.998090+00:00;0.32;0.34;0.03;0.10;
2022-03-29T00:13:05.073717+00:00;0.30;0.35;0.04;0.12;
2022-03-29T00:14:05.515488+00:00;0.29;0.33;0.04;0.11;
2022-03-29T00:15:06.018735+00:00;0.39;0.26;0.01;0.12;
2022-03-29T00:16:04.827759+00:00;0.39;0.27;0.03;0.10;
2022-03-29T00:17:05.384166+00:00;0.30;0.34;0.03;0.10;
2022-03-29T00:18:06.020113+00:00;0.30;0.30;0.04;0.12;
2022-03-29T00:19:04.922995+00:00;0.31;0.30;0.07;0.10;
2022-03-29T00:20:05.672145+00:00;0.38;0.25;0.03;0.10;
2022-03-29T00:21:06.157407+00:00;0.33;0.32;0.04;0.11;
2022-03-29T00:22:05.128645+00:00;0.31;0.30;0.07;0.11;
2022-03-29T00:23:05.553571+00:00;0.32;0.25;0.08;0.11;
2022-03-29T00:24:06.006669+00:00;0.45;0.28;0.06;0.11;
2022-03-29T00:25:04.864555+00:00;0.31;0.30;0.04;0.10;
2022-03-29T00:26:05.404548+00:00;0.30;0.28;0.06;0.13;
2022-03-29T00:27:05.843086+00:00;0.35;0.24;0.05;0.13;
2022-03-29T00:28:04.940773+00:00;0.31;0.28;0.06;0.13;
2022-03-29T00:29:05.408529+00:00;0.29;0.42;0.01;0.11;
2022-03-29T00:30:05.968251+00:00;0.35;0.28;0.08;0.11;
2022-03-29T00:31:04.935651+00:00;0.34;0.27;0.07;0.13;
2022-03-29T00:32:05.340210+00:00;0.31;0.29;0.06;0.12;
