datetimeisoformat,Ch1-S,Ch2-D,PC3,PE4
2022-06-02T00:00:44.953785+00:00,0,0.28,0.04,0.21
2022-06-02T00:01:43.825015+00:00,0,0.3,0.07,0.21
2022-06-02T00:02:44.307551+00:00,0,0.3,0.06,0.21
2022-06-02T00:03:44.882093+00:00,0,0.31,0.06,0.21
2022-06-02T00:04:43.881083+00:00,0,0.34,0.06,0.22
2022-06-02T00:05:44.369130+00:00,0,0.29,0.04,0.21
2022-06-02T00:06:44.885084+00:00,0,0.31,0.08,0.21
2022-06-02T00:07:43.749646+00:00,0,0.31,0.06,0.21
2022-06-02T00:08:44.277789+00:00,0,0.31,0.06,0.2
2022-06-02T00:09:44.744676+00:00,0,0.3,0.08,0.21
2022-06-02T00:10:43.674535+00:00,0,0.32,0.05,0.2
2022-06-02T00:11:44.207173+00:00,0,0.37,0.05,0.21
2022-06-02T00:12:44.665067+00:00,0,0.31,0.02,0.22
2022-06-02T00:13:45.150226+00:00,0,0.29,0.07,0.21
2022-06-02T00:14:44.156893+00:00,0,0.31,0.08,0.21
2022-06-02T00:15:44.689230+00:00,0,0.29,0.09,0.21
2022-06-02T00:16:45.221697+00:00,0,0.31,0.04,0.21
2022-06-02T00:17:45.041615+00:00,0,0.29,0.04,0.21
2022-06-02T00:18:44.066391+00:00,0,0.33,0.06,0.21
2022-06-02T00:19:44.455180+00:00,0,0.31,0.06,0.21
2022-06-02T00:20:43.631514+00:00,0,0.32,0.08,0.21
2022-06-02T00:21:44.172528+00:00,0,0.33,0.07,0.21
2022-06-02T00:22:44.715917+00:00,0,0.3,0.03,0.2
2022-06-02T00:23:44.752383+00:00,0,0.33,0.05,0.22
2022-06-02T00:24:43.884674+00:00,0,0.33,0.06,0.21
2022-06-02T00:25:44.432611+00:00,0,0.26,0.07,0.21
2022-06-02T00:26:45.014140+00:00,0,0.31,0.06,0.21
2022-06-02T00:27:43.854295+00:00,0,0.31,0.06,0.21
2022-06-02T00:28:44.345791+00:00,0,0.3,0.06,0.21
2022-06-02T00:29:44.945500+00:00,0,0.33,0.06,0.21
2022-06-02T00:30:43.943583+00:00,0,0.31,0.07,0.22
2022-06-02T00:31:44.659449+00:00,0.25,0.28,0.07,0.21
2022-06-02T00:32:45.198922+00:00,0.18,0.31,0.07,0.22
2022-06-02T00:33:44.096779+00:00,0.2,0.31,0.03,0.22
2022-06-02T00:34:44.603276+00:00,0.24,0.31,0.06,0.21
2022-06-02T00:35:45.165772+00:00,0.21,0.32,0.07,0.21
2022-06-02T00:36:44.071257+00:00,0.21,0.3,0.1,0.21
2022-06-02T00:37:44.613904+00:00,0.2,0.37,0.05,0.22
2022-06-02T00:38:45.140291+00:00,0.18,0.33,0.1,0.23
2022-06-02T00:39:44.190273+00:00,0.2,0.29,0.07,0.22
2022-06-02T00:40:44.776087+00:00,0.22,0.36,0.05,0.21
2022-06-02T00:41:43.761920+00:00,0.24,0.38,0.06,0.21
2022-06-02T00:42:44.274317+00:00,0.23,0.28,0.06,0.22
2022-06-02T00:43:44.890198+00:00,0.23,0.27,0.06,0.22
2022-06-02T00:44:43.846386+00:00,0.19,0.32,0.06,0.21
2022-06-02T00:45:44.377099+00:00,0.22,0.3,0.08,0.22
2022-06-02T00:46:45.083078+00:00,0.22,0.32,0.08,0.22
