datetimeisoformat,tmp0,tmp1,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,tmp10,tmp11,tmp12
2022-07-13T00:00:00Z,30.59,31.01,30.92,31.04,30.92,30.69,31.24,31.1,30.92,31.34,31.52,30.54,30.51
2022-07-13T00:01:00Z,30.58,31.01,30.91,31.03,30.92,30.69,31.24,31.1,30.92,31.34,31.52,30.52,30.5
2022-07-13T00:02:00Z,30.58,31.01,30.91,31.03,30.92,30.69,31.24,31.1,30.92,31.34,31.51,30.52,30.5
2022-07-13T00:03:00Z,30.58,31.01,30.91,31.03,30.92,30.69,31.24,31.1,30.92,31.33,31.51,30.51,30.5
2022-07-13T00:04:00Z,30.58,31.01,30.91,31.03,30.92,30.69,31.24,31.1,30.92,31.33,31.51,30.51,30.5
2022-07-13T00:05:00Z,30.58,31.01,30.91,31.03,30.91,30.69,31.24,31.1,30.92,31.33,31.51,30.51,30.5
2022-07-13T00:06:00Z,30.58,31.01,30.91,31.03,30.9,30.69,31.24,31.1,30.92,31.33,31.51,30.51,30.5
2022-07-13T00:07:00Z,30.58,31.01,30.91,31.03,30.9,30.69,31.23,31.09,30.92,31.33,31.51,30.51,30.5
2022-07-13T00:08:00Z,30.58,31,30.91,31.03,30.89,30.69,31.23,31.09,30.92,31.33,31.51,30.5,30.5
2022-07-13T00:09:00Z,30.57,31,30.91,31.03,30.89,30.69,31.23,31.09,30.91,31.33,31.51,30.49,30.49
2022-07-13T00:10:00Z,30.57,31,30.91,31.03,30.89,30.69,31.22,31.09,30.91,31.33,31.51,30.48,30.48
2022-07-13T00:11:00Z,30.57,31,30.91,31.03,30.89,30.69,31.22,31.09,30.91,31.33,31.51,30.5,30.48
2022-07-13T00:12:00Z,30.58,31,30.91,31.03,30.9,30.69,31.23,31.09,30.91,31.32,31.51,30.51,30.49
2022-07-13T00:13:00Z,30.58,31,30.91,31.03,30.9,30.68,31.23,31.09,30.91,31.32,31.51,30.51,30.49
2022-07-13T00:14:00Z,30.58,31,30.91,31.03,30.9,30.68,31.23,31.09,30.91,31.32,31.5,30.49,30.49
2022-07-13T00:15:00Z,30.58,31,30.91,31.03,30.89,30.68,31.23,31.09,30.91,31.32,31.5,30.48,30.48
2022-07-13T00:16:00Z,30.58,31,30.91,31.03,30.89,30.68,31.22,31.09,30.91,31.32,31.5,30.48,30.48
2022-07-13T00:17:00Z,30.58,31,30.9,31.03,30.89,30.68,31.22,31.09,30.91,31.32,31.5,30.48,30.47
2022-07-13T00:18:00Z,30.58,31,30.9,31.03,30.9,30.68,31.23,31.09,30.91,31.32,31.5,30.5,30.46
2022-07-13T00:19:00Z,30.58,31,30.9,31.03,30.91,30.68,31.24,31.1,30.91,31.32,31.5,30.5,30.46
2022-07-13T00:20:00Z,30.57,31,30.9,31.03,30.91,30.68,31.24,31.1,30.91,31.32,31.49,30.49,30.47
2022-07-13T00:21:00Z,30.57,31,30.9,31.03,30.92,30.68,31.24,31.1,30.91,31.32,31.49,30.48,30.47
2022-07-13T00:22:00Z,30.57,31,30.9,31.03,30.91,30.68,31.23,31.1,30.91,31.31,31.49,30.48,30.47
2022-07-13T00:23:00Z,30.57,31,30.9,31.02,30.91,30.68,31.23,31.09,30.91,31.31,31.49,30.49,30.47
2022-07-13T00:24:00Z,30.56,30.99,30.9,31.02,30.91,30.67,31.22,31.09,30.91,31.31,31.49,30.49,30.47
2022-07-13T00:25:00Z,30.57,30.99,30.9,31.02,30.9,30.67,31.22,31.08,30.9,31.31,31.49,30.49,30.47
2022-07-13T00:26:00Z,30.57,30.99,30.9,31.01,30.89,30.67,31.21,31.08,30.9,31.31,31.49,30.48,30.47
2022-07-13T00:27:00Z,30.57,30.99,30.89,31.01,30.89,30.67,31.21,31.07,30.9,31.31,31.49,30.47,30.47
2022-07-13T00:28:00Z,30.57,30.99,30.89,31.01,30.89,30.67,31.21,31.07,30.9,31.31,31.49,30.46,30.46
2022-07-13T00:29:00Z,30.57,30.99,30.89,31.01,30.88,30.67,31.21,31.07,30.89,31.31,31.49,30.45,30.46
2022-07-13T00:30:00Z,30.56,30.99,30.89,31.01,30.88,30.67,31.21,31.08,30.89,31.31,31.49,30.45,30.46
2022-07-13T00:31:00Z,30.56,30.99,30.89,31.01,30.88,30.67,31.21,31.08,30.89,31.3,31.49,30.47,30.47
2022-07-13T00:32:00Z,30.56,30.99,30.89,31.01,30.89,30.67,31.21,31.08,30.89,31.3,31.48,30.48,30.47
2022-07-13T00:33:00Z,30.56,30.99,30.89,31.02,30.9,30.67,31.22,31.09,30.89,31.3,31.48,30.47,30.47
2022-07-13T00:34:00Z,30.57,30.99,30.89,31.02,30.9,30.67,31.22,31.09,30.9,31.3,31.48,30.48,30.46
2022-07-13T00:35:00Z,30.57,30.99,30.89,31.02,30.9,30.67,31.22,31.09,30.9,31.3,31.48,30.48,30.46
2022-07-13T00:36:00Z,30.57,30.99,30.89,31.02,30.9,30.67,31.22,31.08,30.89,31.3,31.48,30.48,30.46
2022-07-13T00:37:00Z,30.57,30.99,30.89,31.02,30.91,30.67,31.22,31.08,30.89,31.3,31.48,30.49,30.46
2022-07-13T00:38:00Z,30.57,30.98,30.89,31.01,30.9,30.66,31.21,31.08,30.89,31.3,31.48,30.48,30.46
2022-07-13T00:39:00Z,30.56,30.98,30.89,31.01,30.9,30.66,31.21,31.07,30.89,31.3,31.48,30.47,30.46
2022-07-13T00:40:00Z,30.56,30.98,30.89,31.01,30.9,30.66,31.21,31.08,30.89,31.3,31.47,30.46,30.46
2022-07-13T00:41:00Z,30.55,30.98,30.89,31.01,30.9,30.66,31.21,31.08,30.89,31.3,31.47,30.46,30.45
2022-07-13T00:42:00Z,30.55,30.98,30.89,31.01,30.9,30.66,31.21,31.08,30.89,31.3,31.47,30.45,30.45
2022-07-13T00:43:00Z,30.55,30.98,30.89,31.01,30.9,30.66,31.22,31.08,30.89,31.3,31.47,30.45,30.45
2022-07-13T00:44:00Z,30.55,30.98,30.89,31.01,30.9,30.66,31.21,31.08,30.88,31.29,31.47,30.46,30.45
2022-07-13T00:45:00Z,30.55,30.98,30.88,31.01,30.9,30.65,31.21,31.09,30.88,31.29,31.47,30.46,30.44
