datetimeisoformat,O2S_surf,O2D_surf,temp_O2_surf,O2S_deep,O2D_deep,temp_O2_deep,PH,temp_PH,cond25,temp_cond,TU_FTU,TU_TSS,temp_TU
2021-03-31T00:00:51.321151+00:00,87.975,9.998,10,79.316,9.538,7.68,8.286,10.23,168.422,10.02,203.326,337.29,9.86
2021-03-31T00:01:50.508913+00:00,88.022,9.999,10.02,79.335,9.539,7.68,8.287,10.24,168.423,10.02,203.13,336.72,9.86
2021-03-31T00:02:49.661592+00:00,88.068,10.003,10.03,79.349,9.539,7.69,8.289,10.25,168.447,10.02,203.217,336.74,9.86
2021-03-31T00:03:48.821263+00:00,88.107,10.007,10.03,79.333,9.536,7.7,8.289,10.25,168.453,10.02,203.082,336.45,9.86
2021-03-31T00:04:48.001495+00:00,88.144,10.016,10.01,79.313,9.539,7.67,8.29,10.24,168.426,10.02,202.963,336.29,9.87
2021-03-31T00:05:47.462999+00:00,88.18,10.023,10,79.243,9.53,7.68,8.29,10.23,168.419,10.02,202.919,336.3,9.86
2021-03-31T00:06:48.196832+00:00,88.212,10.028,9.99,79.22,9.543,7.61,8.291,10.22,168.414,10.02,202.859,336.26,9.85
2021-03-31T00:07:47.658098+00:00,88.245,10.032,9.99,79.156,9.515,7.69,8.292,10.22,168.423,10.02,202.923,336.27,9.85
2021-03-31T00:08:48.361884+00:00,88.298,10.038,9.99,79.132,9.518,7.67,8.294,10.22,168.427,10.01,203.088,336.62,9.85
2021-03-31T00:09:47.534789+00:00,88.347,10.045,9.98,79.119,9.532,7.61,8.297,10.22,168.409,10.02,203.334,337.14,9.85
2021-03-31T00:10:46.697672+00:00,88.392,10.051,9.98,79.047,9.528,7.58,8.3,10.22,168.416,10.01,203.643,337.77,9.85
2021-03-31T00:11:46.423817+00:00,88.404,10.053,9.98,78.938,9.52,7.56,8.303,10.22,168.369,10.01,203.851,338.18,9.84
2021-03-31T00:12:45.666713+00:00,88.43,10.057,9.97,78.795,9.504,7.56,8.306,10.21,168.337,10.01,203.931,338.3,9.85
2021-03-31T00:13:45.033017+00:00,0,10.059,9.97,78.636,9.484,7.56,8.308,0,168.325,10.01,204.318,339.11,9.84
2021-03-31T00:14:44.191313+00:00,88.463,10.062,9.97,78.485,9.466,7.56,8.311,10.21,168.34,10,204.562,339.52,9.84
2021-03-31T00:15:43.646413+00:00,88.465,10.063,9.97,78.358,9.451,7.56,8.313,10.2,168.379,9.99,204.895,339.96,9.84
2021-03-31T00:16:44.323468+00:00,88.465,10.062,9.97,78.237,9.437,7.56,8.314,10.19,168.392,9.98,205.117,340.45,9.8
2021-03-31T00:17:43.501437+00:00,88.457,10.062,9.96,78.08,9.42,7.55,8.315,10.2,168.43,9.97,205.225,340.7,9.8
2021-03-31T00:18:42.691119+00:00,88.429,10.059,9.96,77.919,9.399,7.56,8.316,10.2,168.456,9.96,205.298,340.56,9.82
2021-03-31T00:19:41.866007+00:00,88.395,10.054,9.97,77.788,9.383,7.56,8.315,10.2,168.443,9.96,205.216,340.28,9.82
2021-03-31T00:20:41.020176+00:00,88.369,10.052,9.96,77.69,9.373,7.55,8.314,10.19,168.405,9.97,205.183,340.2,9.82
2021-03-31T00:21:40.580794+00:00,88.381,10.052,9.97,77.622,9.365,7.55,8.313,10.2,168.444,9.96,205.384,340.66,9.83
2021-03-31T00:22:41.262840+00:00,88.36,10.051,9.96,77.568,9.359,7.55,8.311,10.19,168.477,9.96,205.315,340.56,9.81
2021-03-31T00:23:40.444792+00:00,88.328,10.048,9.96,77.527,9.352,7.55,8.309,10.19,168.518,9.95,205.344,340.55,9.82
2021-03-31T00:24:39.628047+00:00,88.302,10.044,9.97,77.51,9.35,7.55,8.307,10.19,168.552,9.95,205.448,340.71,9.81
2021-03-31T00:25:38.909163+00:00,88.29,10.044,9.96,77.489,0,7.55,8.306,10.18,168.612,9.93,205.404,340.64,9.8
2021-03-31T00:26:38.221202+00:00,88.271,10.042,9.96,77.475,9.345,7.56,8.304,10.16,168.746,0,205.31,340.33,9.74
2021-03-31T00:27:37.910820+00:00,88.217,10.041,9.94,77.482,9.347,7.55,8.301,10.09,0,0,205.31,340.33,9.74
2021-03-31T00:28:37.235883+00:00,88.188,10.066,9.82,77.485,9.349,7.55,8.301,10.09,168.828,9.86,205.356,340.59,9.63
2021-03-31T00:29:36.484392+00:00,88.116,10.066,9.78,77.481,9.346,7.56,8.298,10,169.003,9.8,205.495,341.06,9.59
