datetimeisoformat,ODO_sta,ODO_par1,ODO_par2,ODO_temp,ODO11_sta,ODO11_par1,ODO11_par2,ODO11_temp,PH_sta,PH_par1,PH_par2,PH_temp,C4E_sta,C4E_par1,C4E_par2,C4E_par3,C4E_temp,TUR_sta,TUR_par1,TUR_par2,TUR_par3,TUR_temp
2022-06-02T00:00:12.847658+00:00,0x20,105.626,9.705,19.59,0x20,104.612,9.791,18.7,0x20,8.49,306.957,19.27,0x20,180.385,0.097,91.058,19.24,0x20,10.121,10.121,18.54,19.33
2022-06-02T00:01:11.653003+00:00,0x20,105.589,9.695,19.62,0x20,104.622,9.792,18.7,0x20,8.491,306.975,19.28,0x20,180.304,0.097,91.018,19.25,0x20,9.554,9.554,17.78,19.34
2022-06-02T00:02:10.766177+00:00,0x20,105.614,9.704,19.58,0x20,104.606,9.779,18.75,0x20,8.492,306.987,19.27,0x20,180.386,0.097,91.059,19.22,0x20,9.166,9.166,17.36,19.32
2022-06-02T00:03:11.166264+00:00,0x20,105.64,9.712,19.56,0x20,104.588,9.765,18.81,0x20,8.493,307.018,19.26,0x20,180.318,0.097,91.024,19.22,0x20,9.216,9.216,17.49,19.32
2022-06-02T00:04:11.739956+00:00,0x20,105.648,9.707,19.59,0x20,104.608,9.766,18.82,0x20,8.494,307.041,19.27,0x20,180.266,0.097,90.998,19.22,0x20,9.506,9.506,17.82,19.33
2022-06-02T00:05:10.831983+00:00,0x20,105.596,9.68,19.7,0x20,104.63,9.775,18.78,0x20,8.495,306.994,19.33,0x20,179.984,0.096,90.856,19.29,0x20,9.6,9.6,18.19,19.37
2022-06-02T00:06:11.254764+00:00,0x20,105.702,9.718,19.56,0x20,104.679,9.796,18.7,0x20,8.497,306.957,19.26,0x20,180.231,0.097,90.981,19.21,0x20,9.747,9.747,18.42,19.32
2022-06-02T00:07:11.755037+00:00,0x20,105.752,9.724,19.55,0x20,104.707,9.8,18.69,0x20,8.498,306.919,19.25,0x20,180.29,0.097,91.01,19.18,0x20,9.645,9.645,18.14,19.27
2022-06-02T00:08:10.707360+00:00,0x20,105.754,9.708,19.63,0x20,104.724,9.799,18.71,0x20,8.498,306.883,19.27,0x20,179.913,0.096,90.82,19.27,0x20,9.479,9.479,17.48,19.32
2022-06-02T00:09:11.097826+00:00,0x20,105.773,9.7,19.68,0x20,104.709,9.789,18.75,0x20,8.497,306.873,19.33,0x20,179.834,0.096,90.78,19.29,0x20,9.61,9.61,17.67,19.34
