datetimeisoformat,tmp1,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,tmp10,tmp11,tmp12,tmp13
2022-09-13T00:00:00Z,24.28,23.93,23.65,23.62,23.61,22.53,21.04,15.8,13.77,11.74,10.61,9.07,8.47
2022-09-13T00:01:00Z,24.27,23.94,23.66,23.62,23.62,22.59,20.98,15.66,13.81,11.79,10.69,9.09,8.47
2022-09-13T00:02:00Z,24.28,23.94,23.66,23.62,23.62,22.54,20.98,15.75,13.82,11.8,10.71,9.1,8.47
2022-09-13T00:03:00Z,24.27,23.94,23.66,23.62,23.62,22.5,21,15.78,13.81,11.78,10.7,9.1,8.47
2022-09-13T00:04:00Z,24.27,23.94,23.66,23.62,23.62,22.46,21.01,15.74,13.76,11.75,10.65,9.09,8.47
2022-09-13T00:05:00Z,24.26,23.95,23.66,23.62,23.61,22.45,21.02,15.69,13.73,11.72,10.59,9.09,8.47
2022-09-13T00:06:00Z,24.26,23.96,23.66,23.62,23.61,22.43,21.01,15.67,13.75,11.72,10.56,9.08,8.47
2022-09-13T00:07:00Z,24.26,23.96,23.66,23.62,23.61,22.41,20.99,15.65,13.78,11.74,10.55,9.08,8.47
2022-09-13T00:08:00Z,24.26,23.96,23.66,23.62,23.6,22.4,20.98,15.64,13.81,11.75,10.51,9.07,8.47
2022-09-13T00:09:00Z,24.25,23.95,23.66,23.62,23.6,22.39,20.97,15.64,13.82,11.74,10.46,9.07,8.47
2022-09-13T00:10:00Z,24.25,23.94,23.66,23.62,23.6,22.38,20.94,15.63,13.82,11.72,10.39,9.07,8.47
2022-09-13T00:11:00Z,24.24,23.94,23.66,23.62,23.6,22.41,20.92,15.63,13.8,11.7,10.32,9.07,8.46
2022-09-13T00:12:00Z,24.24,23.93,23.66,23.62,23.59,22.43,20.84,15.63,13.79,11.69,10.27,9.07,8.46
2022-09-13T00:13:00Z,24.24,23.93,23.66,23.62,23.59,22.43,20.77,15.63,13.8,11.67,10.24,9.07,8.46
2022-09-13T00:14:00Z,24.24,23.92,23.65,23.62,23.58,22.39,20.7,15.62,13.83,11.67,10.23,9.08,8.47
2022-09-13T00:15:00Z,24.24,23.92,23.65,23.62,23.57,22.36,20.69,15.61,13.83,11.69,10.22,9.08,8.47
2022-09-13T00:16:00Z,24.23,23.92,23.65,23.61,23.56,22.32,20.71,15.6,13.78,11.66,10.2,9.09,8.47
