"datetimeisoformat","year","month","day","hour","minute","second","tmp1","tmp2","tmp3","tmp4","tmp5","tmp6","tmp7","tmp8","tmp9","tmp10","tmp11","tmp12","tmp13"
2022-09-11 00:00:00,2022,9,11,0,0,0,23.84,23.71,23.39,23.39,23.22,23.18,20.33,14.49,12.76,11.37,10.18,8.78,8.32
2022-09-11 01:00:00,2022,9,11,1,0,0,23.74,23.52,23.38,23.39,23.32,23.2,17.9,14.91,13.47,12.09,11.21,9.31,8.41
2022-09-11 02:00:00,2022,9,11,2,0,0,23.66,23.61,23.4,23.4,23.37,23.21,17.8,14.88,13.32,12.3,11.24,9.45,8.54
2022-09-11 03:00:00,2022,9,11,3,0,0,23.6,23.62,23.42,23.41,23.4,23.11,17.91,14.95,13.61,12.43,10.88,9.39,8.58
2022-09-11 04:00:00,2022,9,11,4,0,0,23.53,23.58,23.45,23.45,23.43,23.23,21.25,15.13,14.3,12.77,10.6,9.59,8.62
2022-09-11 05:00:00,2022,9,11,5,0,0,23.52,23.56,23.46,23.47,23.46,23.18,21.29,15.22,14.18,12.78,10.57,9.19,8.76
2022-09-11 06:00:00,2022,9,11,6,0,0,23.53,23.57,23.47,23.49,23.48,23.05,20.22,15.44,14.25,12.98,11.18,9.66,8.84
2022-09-11 07:00:00,2022,9,11,7,0,0,23.6,23.63,23.5,23.49,23.47,23.03,20.96,15.84,14.18,12.88,11.78,9.83,9.23
2022-09-11 08:00:00,2022,9,11,8,0,0,23.71,23.7,23.54,23.51,23.48,22.95,21.99,16.23,14.13,12.71,11.56,10.04,9.36
2022-09-11 09:00:00,2022,9,11,9,0,0,23.83,23.76,23.58,23.54,23.29,22.85,21.96,16.24,14.53,12.74,11.63,10.6,9.37
2022-09-11 10:00:00,2022,9,11,10,0,0,23.98,23.86,23.65,23.56,23.15,22.8,22.1,15.9,13.86,12.43,11.55,10.59,9.11
2022-09-11 11:00:00,2022,9,11,11,0,0,24.18,24.03,23.69,23.56,23.02,22.77,22.18,15.56,13.84,12.22,11.1,10.13,9.03
2022-09-11 12:00:00,2022,9,11,12,0,0,24.45,24.17,23.74,23.64,23.38,22.88,22.49,15.86,14.18,12.39,10.81,9.63,9.03
2022-09-11 13:00:00,2022,9,11,13,0,0,24.87,24.14,23.74,23.67,23.55,23.03,22.47,15.73,14.49,12.49,10.58,9.54,9.1
2022-09-11 14:00:00,2022,9,11,14,0,0,24.75,24.11,23.75,23.67,23.52,22.86,21.72,15.55,14.1,12.59,10.08,9.44,8.94
2022-09-11 15:00:00,2022,9,11,15,0,0,24.54,24.02,23.74,23.67,23.54,22.86,21.7,15.52,13.92,12.35,10.17,9.36,9.06
2022-09-11 16:00:00,2022,9,11,16,0,0,24.66,24,23.72,23.66,23.49,22.72,20.71,15.3,13.48,12.43,10.74,9.3,8.87
2022-09-11 17:00:00,2022,9,11,17,0,0,24.82,24.03,23.72,23.66,23.45,22.64,18.43,15.02,13.73,12.7,11.16,9.41,8.83
2022-09-11 18:00:00,2022,9,11,18,0,0,24.71,24.06,23.69,23.64,23.45,22.44,17.63,14.89,13.49,12.76,11.62,9.9,9
2022-09-11 19:00:00,2022,9,11,19,0,0,24.57,24.05,23.74,23.67,23.52,22.66,17.69,14.34,13.16,12.25,11.14,9.42,8.78
2022-09-11 20:00:00,2022,9,11,20,0,0,24.45,23.98,23.76,23.67,23.5,22.86,19.78,14.5,13.17,12.38,11.16,9.28,8.74
2022-09-11 21:00:00,2022,9,11,21,0,0,24.3,23.97,23.71,23.64,23.45,22.32,19.48,14.24,13.05,12.29,11.04,9.15,8.66
2022-09-11 22:00:00,2022,9,11,22,0,0,24.19,24.04,23.67,23.64,23.49,22.33,20.7,14.77,13.04,12.31,11.09,9.18,8.68
2022-09-11 23:00:00,2022,9,11,23,0,0,24.09,24.04,23.7,23.65,23.56,22.56,20.63,15,13.38,12.63,11.3,9.25,8.57
